body,title,url
"



    googletag.cmd.push(function() {
      googletag.display(""dfp-ad-top3_content"");
    });
  


Yanet García se consolidó como una de las consentidas en redes sociales por su labor en la pantalla chica, contrario a estas bellezas tapatías que primero saltaron del Instagram para retar a la famosa chica del clima regiomontana.
Sus millones de seguidores presumen que la influencer Yuliett Torres pose mejores curvas que la ex conductora de Hoy y de no ser por estar bloqueada por famosas de la farándula nacional la modelo ya estaría en programas de altos niveles de audiencia.
Parece que muy a pesar de Yanet, Yuliett se está abriendo camino en el espectáculo mexicano con intervenciones en videoclips de gruperos y por los patrocinadores que pagan jugosas sumas para ser su imagen.
Otro factor a considerar son los videos subidos de tono que publica en sus redes sociales y que con el tiempo le permite aparecer como portadas en medios nacionales e incluso internacionales.
Mary Baltazar, modelo de Instagram con más de 2.8 millones de fans, es sin duda una tapatía que pone a temblar a Yanet García. 
Algunas personas sostienen que la anatomía de la influencer es más natural y por ello debería de ser elegida como la más guapa.
Incluso refieren que las fotos de Mary despiertan la envida de la regiomontana por que siempre luce espectacular y casi no se le hacen retoques.
La tapatía logró saltar de la comunidad virtual a las pasarelas, donde se mantiene como una de las modelos más solicitadas por anunciantes de nuestro país.
En las últimas semanas otra que se sumó a la disputa de la corona por la influencer con mejor retaguardia fue Dafne Cosío, ‘La Barbie tapatía’, quien gracias a sus consejos pudo colaborar con el autor de la canción ‘Tusa’.
La bella escribió el tema ”Requisito"" junto con con Keytin, autor del sonado tema de Karol G y Nicky Minaj.
Dafne comenzó a tocar el piano, estudiar solfeo, y durante 12 años se ha preparado para darlo todo en el mundo de la música; así como es bailarina de ballet y tahitiano.
VER: 
Jugadora de Chivas pone a temblar aYanet  García
",Las influencers tapatías que hacen temblar a Yanet García,http://www.unionjalisco.mx/articulo/2020/06/02/espectaculos/las-influencers-tapatias-que-hacen-temblar-yanet-garcia
"
El museo del antiguo campo nazi de la muerte Auschwitz-Birkenau, cerrado desde mediados de marzo por la pandemia de coronavirus, pidió el miércoles ayuda financiera.
En 2020 se celebró el 75 aniversario de la liberación de Auschwitz-Birkenau, convertido en símbolo de todos los campos de exterminio donde murieron cerca de la mitad de los 6 millones de judíos asesinados durante el Holocausto, así como centenares de miles de personas de otros orígenes.
 



 


 

 



 




View this post on Instagram


 



 

 

 



 

 



 

 

 



The history of Auschwitz is actually 1,300,000 individual stories of individuals deported. . . --- Photo by @robertofranchiniphoto --- . . #Auschwitz #Birkenau #AuschwitzMemorial #Nazi #Germany #concentrationcamp #extermination #genocide #history #Holocaust #Shoah #Jews #Poles #Roma #people #life #death #humanity #humiliation #dehumanization #remembrance #commemoration #memory #museum #Poland #igerspoland #UNESCO #worldheritage #worldHeritagelist @unesco #photography

A post shared by  Auschwitz Memorial and Museum (@auschwitzmemorial) on Feb 2, 2020 at 11:10pm PST



""Pedimos ayuda financiera por parte de todos los que consideran necesario preservar la memoria"", se lee en un comunicado publicado en la web del museo.
""El presupuesto de 2020 se hundió"", dice el texto, pese al ""apoyo particular"" del ministerio polaco de la Cultura y la Fundación Internacional Auschwitz-Birkenau que permite mantener el empleo y continuar las obras de mantenimiento de los vestigios de este antiguo campo de la muerte.
Sin embargo el museo no tiene fondos para sus actividades educativas, editoriales y para sus exposiciones.
El memorial de Auschwitz-Birkenau está cerrado desde el 12 de marzo y no podrá abrir hasta principios de julio según su web.
fjb
",El museo de Auschwitz pide ayuda para sobrevivir la pandemia,http://www.eluniversal.com.mx/cultura/patrimonio/coronavirus-el-museo-de-auschwitz-pide-ayuda-para-sobrevivir-la-pandemia
"
La Suprema Corte de Justicia de la Nación (SCJN) avaló que funcionarios del Banco de México (Banxico), Instituto Nacional Electoral (INE) y del Instituto Federal de Telecomunicaciones (IFT) reciban salarios más altos que el del presidente de la República, Andrés Manuel López Obrador.
La Primera Sala de la Corte revocó un acuerdo emitido por la ministra Yasmín Esquivel Mossa en el que negó las suspensiones a los tres organismos quienes impugnaron la aplicación del tope salarial establecido en el Presupuesto de Egresos de la Federación (PEF) del 2020.
Con ello, los altos mandos de Banxico, IFT e INE podrán mantener los salarios que percibían en 2019.
La resolución fue emitida con los tres votos a favor de los ministros Margarita Ríos-Farjat, Jorge Mario Pardo Rebolledo y Alfredo Gutiérrez Ortiz Mena.
En consecuencia, los altos mandos de los tres organismos mantendrán sus salarios intactos hasta que la Corte resuelva en definitiva las impugnaciones contra el tope salarial establecido en el PEF 2020.
En sus demandas, Banxico, INE e IFT solicitaron a la Corte que precise cómo se compondrá el salario del Presidente de la República porque en el PEF 2020 no se incluyeron las prestaciones que recibe en especie como la vivienda, alimentación, transporte y otras.
hm
","Corte avala que funcionarios de Banxico, INE e IFT ganen más que AMLO",http://www.eluniversal.com.mx/nacion/corte-avala-que-funcionarios-de-banxico-ine-e-ift-ganen-mas-que-amlo
"
Un grupo de funcionarios descubrió mosquitos infectados con el virus del Nilo Occidental al sur de California. 

Los moscos portadores del virus se encontraron en la Hacienda Heights, mientras que un segundo y tercer enjambre fue localizado en Shadow Mountain Golf Club en Portola Avenue y la autopista 74 de Mesa View Drive, según reportó los Distritos de Control de Vectores del Condado de Los Ángeles (GLACVCD) y de Coachella Valley.

De acuerdo con los funcionarios, estos insectos alados son los primeros del año en identificarse en el Estado Dorado. 

Se espera que en los próximos meses se multiplique la cantidad de moscos portadores a medida de que la temperatura aumente y las lluvias tardías lleguen. 



Lee: Después de 17 años, millones de cigarras acechan la Costa Este de EU



¿Qué es el Virus del Nilo Occidental? 

El virus de Nilo Occidental se reportó por primera vez en Estados Unidos en 1999, luego de que varias personas y animales se infectaron a través de picaduras de moscos. 

De acuerdo con la Clínica Mayo, los síntomas del virus van desde la fiebre alta, dolores de cabeza y corporales; vómitos y diarrea hasta salpullido. 

En casos extremos, el virus ocasiona inflamación de la médula espinal o el cerebro, según indican los Centros para el Control y Prevención de Enfermedades. 

Los síntomas generalmente duran apenas unos días, pero pueden extenderse hasta el mes. 

¿Cómo se previene el virus del Nilo?

Según las autoridades de salud, no existe vacuna o tratamiento para la infección, aunque sí hay medidas preventivas para reducir el riesgo de picadura. 

Los CDC recomiendan el uso de aerosoles y repelentes con ingredientes activos como DEET, Picaridin y aceite de eucalipto de limón. 

Por su parte, las personas deben utilizar pantalones y mangas largas para disuadir a los moscos. 

Según GLACVCD, otra forma de prevenir las picaduras, y por consecuencia el virus, es controlando los cultivos de moscos en el hogar de la siguiente forma: 


Elimina agua estancada en canales de lluvia obstruidos, barriles, neumáticos, cubos o cualquier cosa que contenga agua durante más de una semana. 

Asegúrate de que piscinas, spas y estanques estén limpios. 

Cambia el agua en los platos de las mascotas, baños de pájaros y recipientes pequeños una vez a la semana. 

Usa repelente de insectos cuando salgas al aire libre. 


Visita: ¿Cómo identificar a los 'avispones asesinos' que generan alarma en EU?



 

No te pierdas de las últimas noticias de Vive Usa en Google News,  síguenos aquí

 
",,https://www.viveusa.mx/noticias/mosquitos-con-el-virus-del-nilo-occidental-llegan-california
"
En 1980, Héctor Suárez y Leticia Perdigón nunca se llamaron por su nombre. Los dos formaban parte del filme Lagunilla mi barrio, y se comunicaba entre sí con los apelativos de sus personajes.

“Nos decíamos mi Rita bonita y mi Tirantitos. Siempre comíamos juntos, nos citábamos antes del llamado, nos veíamos en un café”, cuenta ella.

Ayer, a los 81 años y tras padecer cáncer de próstata de 2015 a 2019, quien dio vida a El Tirantes y a Tránsito Pérez de El milusos, falleció.

“Acostarse y amanecer muerto es una muerte de reyes, no sufrió. Mereció lo que tenía que merecer, hay un Dios, buda o un ser supremo o como le quieran llamar y en lo que crean, pero lo dejó descansar”, dice su hermano Gustavo, quien se encargó de que los restos del histrión fueran cremados.

Al set, cuentan todos quienes lo conocieron, Suárez llegaba con las líneas aprendidas, aunque le gustaba improvisar.

Estudiaba arquitectura cuando entró a una clase de Carlos Ancira y pidió subir al escenario, ya no volvió a bajarse de él.

Zurdo de nacimiento y autocalificado como “anarquista”, Suárez no callaba sus opiniones políticas. Eso presuntamente hizo que en los sexenios de Miguel de la Madridy Carlos Salinas de Gortari fuera retirado de la tv.

“Soy de mecha corta y no me dejo ni me dejaré, si eso significa ser conflictivo, entonces lo soy”, decía sin titubeos.
","Héctor Suárez, zurdo y loco hasta el final",https://www.eluniversalqueretaro.mx/portada/hector-suarez-zurdo-y-loco-hasta-el-final-zurdo-y-loco-hasta-el-final
"
El fiscal general Keith Ellison planea elevar los cargos contra Derek Chauvin, el expolicía de Minneapolis que provocó la muerte de George Floyd al asfixiarlo con la presión que ejerció su rodilla en el cuello del afroestadounidense, y presentar cargos contra los otros exoficiales implicados en el caso por complicidad, dijeron funcionarios de procuración de justicia a medios estadounidenses.
Lee también: ""No podemos cerrar los ojos ante el racismo"", dice el papa Francisco sobre muerte de George Floyd
Se prevé que esta tarde Ellison dé una actualización sobre el estado de las pesquisas de la muerte de Floyd, ocurrida el 25 de mayo, en el Memorial Day.
Chauvin, según las fuentes citadas, sería acusado de homicidio en segundo grado, y no en tercero, como está actualmente, mientras que los otros tres oficiales que estaban en el lugar de los hechos, serán acusados de colaborar y ser cómplices del asesinato.
Se trata de Toyu Thao, J. Alexander Kueng y Thomas Lane. El único detenido hasta el momento es Chauvin, desde el viernes pasado.
a/hm
",Fiscal acusará de homicidio en segundo grado a Derek Chauvin; implicará a tres policías más,http://www.eluniversal.com.mx/mundo/george-floyd-fiscal-acusara-de-homicidio-en-segundo-grado-derek-chauvin
"



    googletag.cmd.push(function() {
      googletag.display(""dfp-ad-top3_content"");
    });
  


El gobierno del Estado de México a través de la Secretaría del Medio Ambiente informó que se mantiene el cierre de operaciones de los Centros de Verificación de Emisiones Contaminantes de Vehículos Automotores Autorizados (CVECA)
A través de un comunicado, la dependencia estatal puntualiza “hasta que las autoridades sanitarias correspondientes determinen la apertura respectiva de las actividades, garantizando en todo momento las medidas de prevención e higiene necesarias para contener la propagación del coronavirus Covid-19”.
Asimismo, por esta vez el horario de servicio de los Centros de Verificación, será de 07:00 a 20:00 horas de lunes a sábado, por lo que se deberá contar con cita programada y los Verificentros no podrán prestar servicio sin ella.
Citas verificación Edomex 2020
Las citas podrán agendarse a través del sitio web http://smahologramas.dsinet.com.mx/RegistroCitas.
Una vez reiniciadas las operaciones en los Verificentros, la verificación vehicular deberá realizarse antes del 31 de diciembre de 2020, de acuerdo con la terminación de la placa conforme a lo establecido en el calendario.
Nuevo calendario y horario verificación vehicular Edomex 
Cabe señalar, que los verificentros del Estado de México no reinician actividades en junio como se había establecido en el portal de la dependencia estatal.
“Las actividades de los Centros de Verificación de Emisiones Contaminantes de Vehículos Automotores Autorizados (CVECA) en el Estado de México y Talleres Autorizados para el Programa Integral de Reducción de Emisiones Contaminantes que se encuentran suspendidas, se reanudarán hasta que las autoridades sanitarias correspondientes determinen la reactivación de las actividades gubernamentales, garantizando, en todo momento, las medidas de prevención e higiene correspondiente”, indica el periódico del estado.
Cuando reinicien actividades, el horario de servicio de los CVECA será por única ocasión de 07:00 a 20:00 horas de lunes a sábado de manera obligatoria o el que determine la dirección General de Prevención y Control de la Contaminación Atmosférica (DGPCCA).
Para realizar la verificación vehicular se deberá contar con cita programada, de lo contrario el CVECA no podrá prestar el servicio al usuario.
Para agendar la cita deberá programarla en la siguiente dirección electrónica: http://smahologramas.dsinet.com.mx/RegistroCitas
La verificación vehicular correspondiente al primer semestre del 2020 deberá realizarse, por única ocasión, antes del 31 de diciembre del 2020, conforme al último dígito de las placas de circulación, de acuerdo a lo siguientes términos:



Terminaciòn de placa 
Plazo a partir del reinicio de actvidades de los CEVCA 


7 u 8 
30 dias naturales 



3 0 4

60 dìas naturales 


1 0 2
90 días naturales


9 o 0 
120 dias naturales



Los vehículos con terminación de placa 5 o 6, que no obtuvieron su constancia de verificación vehicular en enero y febrero de 2020, se harán acreedores a la sanción correspondientes.
Te Puede Interesar: 
Verificación vehicular Edomex: Autos verificarán una vez durante 2020
Verificentros del Estado de México: No abrirán a principios de junio
¿Cuándo termina el Hoy No Circula Covid Edomex?
Nuevo calendario Verificación Vehicular Edomex: Cómo es y la multa
Si quieres saber más sobre le verificación vehicular Edomex 2020 revisa la Gaceta del Gobierno a partir de la página 28: 
GACETA DEL GOBIERNO EDOMEX ... by JuanMiranda on Scribd

",Citas para verificar Edomex 2020: Entérate ,http://www.unionedomex.mx/articulo/2020/06/02/gente/citas-para-verificar-edomex-2020-enterate
"



    googletag.cmd.push(function() {
      googletag.display(""dfp-ad-top3_content"");
    });
  


Como parte de las medidas de apoyo a las familias ante la pandemia por coronavirus Covid-19, la Coordinación Nacional de Becas para el Bienestar Benito Juárez entregará 400 mil becas a alumnos de nivel básico, es decir, preescolar, primaria y secundaria.
Esto representa que aproximadamente otras 200 mil familias recibirán Becas Benito Juárez. 
Lo anterior lo dio a conocer Leticia Ánimas Vargas, titular de la Coordinación de Becas para el Bienestar.
Becas AMLO de primaria
Las Becas AMLO de primaria consisten en un monto mensual de 800 pesos que se paga bimestralmente. Es decir, cada depósito es de mil 600 pesos.
Estas becas no son universales, es decir no se otorgan a todos los alumnos de primaria. De hecho solo se paga una beca por familia.
Las becas Benito Juárez de primaria van dirigidas a quienes hayan sido censados en el Censo del Bienestar y formen parte de la población objetivo del programa, es decir, hogares con un ingreso per cápita estimado menor a la Línea de Pobreza Extrema por Ingresos (LPEI), que cuenten con estudiantes de educación básica y/o educación inicial que puedan acceder a las becas.
Registro Becas Benito Juárez de primaria
No hay registro en línea para las Becas AMLO de primaria, secundaria y preescolar. La única forma de registrarte en estas Becas Benito Juárez es a través del Censo del Bienestar.
Pago adelantado de Becas Benito Juárez por Covid-19
En total, la Beca AMLO de nivel básico se pagará de forma adelantada a 2 millones 665 mil 691 becarios en 1 millón 536 mil 718 familias. el 50.8 por ciento de los beneficiarios de estas Becas para el Bienestar son hombres.
En tanto que el 80.4 por ciento de los beneficiarios de estas Becas Benito Juárez se encuentran en localidades de alta y muy alta marginación.
Los estados donde se entregan más Becas Benito Juárez de preescolar, primaria y secundaria son: Estado de México, Chiapas, Veracruz, Puebla, Guerrero y Oaxaca.

Las Becas para el Bienestar o también llamadas Becas AMLO sustituyeron al programa Prospera desde 2019.
¿Cuándo se pagan las Becas Benito Juárez?
Todas las Becas AMLO se pagan cada dos meses, a bimestre vencido; esto es, dos meses después del periodo en curso.
En este caso, debido a la contingencia por el coronavirus, la Secretaría de Educación Pública (SEP) decidió adelantar el pago de las Becas Benito Juárez del bimestre mayo-junio.
Duración de la Beca Benito Juárez
Se entregan por cinco bimestres, lo que corresponde con la duración del ciclo escolar.
Los bimestres de pago son: 

Septiembre – Octubre (se comenzarán a pagar en noviembre)
Noviembre – Diciembre (se comenzarán a pagar en enero)
Enero – Febrero (se comenzarán a pagar en marzo)
Marzo – Abril (se comenzarán a pagar en mayo)
Mayo – Junio (se comenzarían a pagar en julio, pero se adelantó el pago)

MÁS INFORMACIÓN SOBRE LAS BECAS QUE OTORGA LÓPEZ OBRADOR:
Becas Benito Juárez: En estos correos electrónicos responden dudas
Las Becas AMLO que sobreviven al coronavirus | Becas Benito Juárez
¿Qué necesito para cobrar mi Beca Benito Juárez en Walmart o Sam's?
",Cómo consigo una de Beca Benito Juárez de primaria y secundaria,http://www.unionpuebla.mx/articulo/2020/05/26/educacion/como-consigo-una-de-beca-benito-juarez-de-primaria-y-secundaria
"



    googletag.cmd.push(function() {
      googletag.display(""dfp-ad-top3_content"");
    });
  


Belinda es una de las coaches de La Voz México 2020 que por fin dio inicio en junio, tras el paro de grabaciones por el coronavirus.
Es una de las artistas más polémicas del medio del espectáculo en México, principalmente por sus relaciones amorosas.
En 2019 fue justamente la que mantuvo con Lupillo Rivera la que más dio de qué hablar.
Regresa este 2020 a La Voz México, junto con Ricardo Montaner, María José y Christian Nodal.
Edad de Belinda y estatura
Muchos se preguntan datos privados de la vida de Belinda, por ejemplo, su estatura, que según algunas fuentes mide 1.67 metros.
Es muy delgada y aunque se ha hecho cirugías, es una de las más guapas cantantes de México.
Su edad no se puede ocultar pues inició muy pequeña en el medio artístico en la telenovela Cómplices al Rescate.
Nació el 15 de agosto de 1989, tiene 30 años de edad, y aunque no lo crean, no nació en México, sino en Madrid, España.
Además de actriz y cantante es modelo y presentadora. También tuvo su faceta de empresaria.
Perfil de Belinda
Su nombre completo es Belinda Peregrín Schüll. 
En 2004 lanzó su álbum debut, Belinda. Gracias a él y éxitos como “Lo siento” se convirtió en “La princesa del pop latino”.
En 2006 lanzó su segundo álbum, “Utopía”, del que destacó Luz Sin Gravedad, en este álbum asumió el control creativo ya que compuso todas sus canciones.
Además debutó en el cine con un papel protagonista en la película “The Cheetah Girls” 2 de Disney.
En 2010 lanzó oficialmente su tercer álbum “Carpe Diem” del cual solo se lanzaron dos sencillos, Egoísta al lado del Pitbull y Dopamina.
Asimismo, ha participado en la dirección, producción y guión de “Egoísta” y “Dopamina”.
En 2012 colaboró junto con el español Juan Magán para el tema Te Voy a Esperar. Ese mismo año, mientras planeaba su cuarto álbum de estudio titulado “Catarsis” lanzó el sencillo “En El Amor Hay Que Perdonar.
A finales de 2012 lanzó el segundo sencillo del mismo álbum titulado En La Obscuridad.
En 2016 formó parte del reparto de la versión cinematográfica de “Baywatch” en donde obtuvo una participación especial.
En 2017 colabora nuevamente con Juan Magán, Manuel Turizo, Snova y B-Case en la canción “Déjate llevar”, que fue filmado en Cuba.
En 2019 fue jurado y coach en La Voz y La Voz Senior.
Más información de Belinda
Eiza González Vs Belinda, cirugías y escándalos
La larga lista de novios de Belinda #Fotos
Belinda y Lupillo Rivera, la pareja dispareja
","Belinda, edad, estatura y otros datos de la coach de La Voz",http://www.unionyucatan.mx/articulo/2020/06/02/espectaculos/belinda-edad-estatura-y-otros-datos-de-la-coach-de-la-voz
"Temascaltepec.— Sicarios descargaron más de cien tiros contra un custodio, tras ser emboscado a la altura del kilómetro 45 de la vía Toluca—Ciudad Altamirano.
La Fiscalía General de Justicia del Estado de México presume que el asesinato, fue una venganza de integrantes del crimen organizado que opera en Tierra Caliente. 
CALIENTES. Vecinos de la comunidad Rancho Viejo en Temascaltepec, escucharon las balazos, pero por temor no se acercaron. Salieron hasta que las balas cesaron.
“No paraban, los tiros parecían interminables, luego se fueron en camionetas, todo el carro estaba agujerado”, relató un campesino a la policía que resguardó el lugar.
La víctima vestía de uniforme azul, las autoridades lo identificaron como Gonzalo. 
El hombre tenía 40 años y era custodio del Centro de Readaptación Social (CERESO) de Temascaltepec, a donde tenía poco de haber llegado. Hace dos semenas, Gonzalo laboraba en el penal de Neza-Bordo. 
DEDICATORIA
En la escena del crimen, la policía halló un vehículo Honda Acord color azul marino, con placas NHN-8954 del Edomex. 
Afuera, como si hubiera tratado de correr, quedó el cadáver del custodio, la policía contó más de 100 casquillos percutidos con las leyendas Águila .223 y Aguila 12.
Un mensaje también fue hallado en el lugar en el que se leía: “Esto les va a pasar a Todos los que no estén con nosotros Y MUGROSA TU PUTA MADRE!!"". Personal de la Fiscalía tardó más de dos horas en realizar el levantamiento del cadáver. 
",,https://www.elgrafico.mx/la-roja/custodio-de-penal-en-edomex-termina-mas-que-muerto-luego-de-mas-de-100-balazos
